First Index,Second Index,Similarity
6281,11497,0.8740581274032593
4378,14987,0.8769494295120239
2381,18701,0.9011425971984863
2245,16801,0.8213958740234375
2685,10040,0.8534543514251709
7622,13676,0.9067445993423462
6088,10004,0.8383070230484009
9577,17231,0.7958088517189026
1584,15257,0.8067559003829956
4502,18020,0.8230036497116089
6013,16836,0.8565280437469482
5711,11590,0.8113064765930176
8573,13547,0.8610743284225464
291,19233,0.7956408858299255
9172,15998,0.8841040730476379
6128,16070,0.8575353026390076
2973,18017,0.7511592507362366
7204,10071,0.9075068235397339
2521,18569,0.8404514193534851
1545,14316,0.8055875301361084
4596,15741,0.8120553493499756
656,18552,0.8628033399581909
2160,16436,0.8468420505523682
5455,17163,0.8256325721740723
9423,12149,0.8771607279777527
2336,15228,0.8334716558456421
1614,12859,0.7798241972923279
4190,12447,0.7774484157562256
807,18549,0.7462189793586731
9510,18677,0.8042759299278259
3698,10661,0.7567181587219238
8116,11636,0.8875316381454468
8224,16861,0.8923887014389038
5097,13623,0.8845551013946533
3694,16863,0.7563396692276001
7502,16485,0.8220279216766357
5475,9854,0.6732313632965088
8802,13477,0.850965678691864
1671,18827,0.8358662128448486
6257,18451,0.8329866528511047
4750,17061,0.737568736076355
3305,16879,0.893905520439148
3216,15417,0.8569920063018799
5580,17321,0.961463451385498
4934,18774,0.8846195340156555
9538,13604,0.8832107782363892
664,10832,0.8126075267791748
9077,16279,0.7508193254470825
2325,19003,0.8711599707603455
4392,13037,0.8070583939552307
5615,13712,0.8621441125869751
6894,18081,0.8825151920318604
2184,13734,0.8704129457473755
318,13232,0.7514504194259644
8362,12753,0.6979685425758362
5479,13075,0.7456372976303101
5690,11486,0.9058476686477661
6824,17634,0.8627903461456299
5558,17463,0.8320497274398804
3033,14219,0.8560746908187866
4119,16699,0.843019425868988
6332,11080,0.8719075918197632
6862,14327,0.7799338102340698
7454,18124,0.8501206636428833
8864,16886,0.7710910439491272
5838,10962,0.6449114084243774
4013,18641,0.7589229345321655
9036,13836,0.7635567784309387
4499,12186,0.7177374958992004
9281,17965,0.7280276417732239
7540,12118,0.7778898477554321
7487,15635,0.9338379502296448
5427,11622,0.8295297622680664
4113,17106,0.7589097023010254
8080,15345,0.8776782751083374
789,16823,0.8194705247879028
1256,11098,0.7581299543380737
9319,10157,0.9048993587493896
4129,10744,0.7953125834465027
5990,18379,0.7144842147827148
6962,10710,0.8467992544174194
208,11968,0.8542682528495789
7169,12918,0.7310962080955505
6694,17124,0.7386965751647949
5213,13439,0.7369791865348816
7942,10126,0.8687258362770081
4914,10704,0.7706818580627441
9481,18301,0.9109610915184021
6529,17075,0.8717008233070374
3276,16742,0.6805460453033447
5421,14073,0.9481652975082397
5258,14199,0.817471444606781
7377,14281,0.7310214638710022
4826,18845,0.7024849057197571
5840,19238,0.896570086479187
2178,14252,0.902648389339447
501,13048,0.8522168397903442
7281,11179,0.738145112991333
8289,9909,0.8491162657737732
8287,10519,0.8428463935852051
3562,13988,0.9252858757972717
2979,11051,0.8419137001037598
5434,12775,0.8672786951065063
2564,13353,0.8556981086730957
5687,10954,0.8553887605667114
6940,14801,0.900759220123291
6830,15400,0.8458395600318909
6400,18957,0.8086576461791992
1076,13524,0.796478807926178
7689,14208,0.7185893058776855
2695,11647,0.828636646270752
8801,18704,0.7937689423561096
6414,11317,0.9321836233139038
7039,16939,0.8197339773178101
4747,12529,0.8078005313873291
281,13300,0.8580058217048645
4028,10115,0.8711100816726685
609,19113,0.8342034816741943
8160,15341,0.7978838682174683
4370,19140,0.8399765491485596
7306,12437,0.7942092418670654
6742,10654,0.7239899635314941
5636,11976,0.693035364151001
3106,16710,0.6602421998977661
7474,11745,0.8213729858398438
7290,16418,0.8319506645202637
1065,11890,0.7828976511955261
162,14572,0.8816872835159302
3742,16120,0.8828103542327881
1381,16010,0.7729774117469788
4124,9849,0.8243554830551147
3143,14904,0.812512993812561
8953,10092,0.8412504196166992
5613,14478,0.8800928592681885
9592,16570,0.734037458896637
9328,19159,0.7912338972091675
2763,16841,0.8426379561424255
5747,14736,0.8534351587295532
7173,11800,0.8829832077026367
7590,17556,0.8168662786483765
949,12979,0.737915575504303
4481,17609,0.8200830221176147
6447,10950,0.7308586239814758
1987,15865,0.842255711555481
953,16203,0.8505160808563232
9212,18727,0.7875192165374756
1089,11643,0.8510438203811646
6637,10012,0.8680294752120972
614,10570,0.9066145420074463
2080,12722,0.8842235803604126
5683,14616,0.8442908525466919
7551,18563,0.8195799589157104
7009,11721,0.7094437479972839
7503,15537,0.8019495010375977
9280,14909,0.7903592586517334
3286,10711,0.7961146831512451
7495,9964,0.8147262930870056
3136,17387,0.7787536382675171
1048,11312,0.8753724694252014
2282,18793,0.7037874460220337
4170,16923,0.8357517123222351
5962,11449,0.8707975149154663
247,12930,0.760217547416687
2165,12469,0.9076406955718994
3795,11282,0.8302241563796997
6954,19025,0.8354959487915039
9259,9865,0.7998576164245605
3362,13728,0.7844346165657043
6550,12112,0.833584189414978
1326,13234,0.8865747451782227
7015,14636,0.7482547163963318
2730,18922,0.8499062061309814
7450,12826,0.8522810339927673
6626,16919,0.8443279266357422
3481,15750,0.7788553237915039
8611,17846,0.861164927482605
901,14415,0.8252632021903992
4027,14926,0.7966709136962891
7646,17472,0.8389722108840942
4338,14981,0.9102704524993896
2100,15463,0.842186450958252
8810,17200,0.8374937772750854
1008,10409,0.7025460004806519
660,13554,0.7706685066223145
9511,12094,0.8180047273635864
9221,10106,0.845267117023468
6334,16335,0.7768614292144775
6780,10721,0.8344318866729736
5572,14320,0.6987311244010925
400,15069,0.8572816848754883
299,15313,0.8152850270271301
1923,17611,0.7421729564666748
3208,10287,0.7785364985466003
4529,17449,0.7687563300132751
2465,14932,0.8095114231109619
7359,17923,0.8335006237030029
2401,16589,0.8439483642578125
2119,11552,0.7970569729804993
5040,10334,0.8747920989990234
4436,12940,0.8505547642707825
4389,11288,0.7608292102813721
4648,9995,0.7959346771240234
593,17973,0.7322055101394653
2939,17202,0.7559484243392944
6207,17641,0.8327947854995728
4730,11606,0.8112058043479919
1425,11752,0.8401349782943726
1897,18050,0.8835964202880859
8205,12519,0.7772158980369568
6880,10443,0.6728430986404419
5087,15575,0.8524385690689087
4416,14239,0.7438178658485413
8609,10159,0.8380212783813477
3258,17072,0.7104499340057373
4422,15144,0.7593531608581543
7926,12106,0.8240500688552856
4920,12490,0.8907129764556885
4556,14521,0.7588196992874146
8964,19148,0.7678109407424927
8437,17256,0.7717928886413574
5201,12209,0.7433328628540039
6581,17103,0.8012217283248901
6920,10326,0.7945448160171509
4516,15868,0.7790384292602539
5761,15988,0.7796639204025269
2638,12509,0.8046217560768127
354,11406,0.8316253423690796
7855,18757,0.8363083004951477
3246,11075,0.7574476599693298
1984,15351,0.8840413689613342
7664,11534,0.8398216962814331
5660,15333,0.8612697720527649
9258,10835,0.8438020944595337
3919,10873,0.8644189834594727
6998,10252,0.7601423859596252
6596,16835,0.8354707956314087
7371,10175,0.7607631683349609
505,12163,0.8334234356880188
4965,10866,0.8394073843955994
4842,13874,0.7911839485168457
6350,18714,0.9049110412597656
2683,14434,0.8193718791007996
2911,10764,0.8613731861114502
4328,18085,0.8732331991195679
5397,10554,0.7828468084335327
7878,16872,0.7601560950279236
3954,17817,0.8902345895767212
1617,13351,0.7080711126327515
6173,19193,0.8516680598258972
9401,16338,0.7676498889923096
2561,16127,0.7830550670623779
3260,16044,0.8294045925140381
5982,17325,0.8220059871673584
5394,16251,0.8566134572029114
1771,10401,0.8853509426116943
9417,18485,0.8524437546730042
737,13026,0.941411018371582
6589,11985,0.7889086604118347
2969,13096,0.8902453184127808
1398,12765,0.7623382806777954
8325,16997,0.7790939807891846
7374,11437,0.8961949348449707
3085,10812,0.8696815967559814
8012,15582,0.7797095775604248
921,17247,0.8816379308700562
2670,17799,0.7758316993713379
2199,14303,0.8652942776679993
3232,10998,0.8600206971168518
8827,11096,0.7970174551010132
3190,17019,0.7770184874534607
5999,15654,0.8861483335494995
3979,14551,0.8695802688598633
1143,14264,0.8139759302139282
531,18907,0.7598577737808228
9410,13242,0.8198333978652954
2105,10509,0.876964271068573
6612,11908,0.8788188695907593
7832,16446,0.7980548739433289
7236,16853,0.8184534311294556
5565,13896,0.8915061950683594
6220,11982,0.8859426379203796
5340,14983,0.7567243576049805
6202,16921,0.870668351650238
6147,10078,0.8971830606460571
7572,12262,0.8509427309036255
4748,11173,0.8576706647872925
5094,16848,0.8051143288612366
2548,12347,0.8547374606132507
5939,11205,0.8108125925064087
744,17456,0.8575066924095154
263,19209,0.8331927061080933
2543,14570,0.8442378044128418
3273,17013,0.8032131791114807
5922,9832,0.7957549095153809
5443,17636,0.819495677947998
9639,13229,0.8741920590400696
