Node Index,Similarity
0,0.8274667
1,0.7396643
2,0.77544487
3,0.94281447
4,0.65702343
5,0.8135488
6,0.8877312
7,0.8048224
8,0.8266869
9,0.8464571
10,0.79641485
11,0.87428725
12,0.902637
13,0.9235285
14,0.7267767
15,0.8356446
16,0.8655157
17,0.90403974
18,0.88434935
19,0.88608545
20,0.7546923
21,0.9031209
22,0.90133274
23,0.9197917
24,0.77219504
25,0.8427759
26,0.9453819
27,0.84466255
28,0.88283765
29,0.78892285
30,0.84617555
31,0.84617555
32,0.85110724
33,0.866999
34,0.8398021
35,0.8398021
36,0.68423414
37,0.7865982
38,0.75546706
39,0.7979363
40,0.73734486
41,0.70884657
42,0.7887701
43,0.82841754
44,0.7807972
45,0.8353918
46,0.7390696
47,0.8105935
48,0.8471298
49,0.761555
50,0.8328108
51,0.8157107
52,0.8341831
53,0.85750693
54,0.86541826
55,0.7402811
56,0.76036847
57,0.7391652
58,0.8044113
59,0.77902114
60,0.87555015
61,0.787933
62,0.77967644
63,0.821713
64,0.83219653
65,0.7891778
66,0.7891778
67,0.88187075
68,0.84594345
69,0.6779954
70,0.6766693
71,0.77601206
72,0.8227855
73,0.8227855
74,0.7461767
75,0.7795622
76,0.8902976
77,0.74479103
78,0.81581354
79,0.82159495
80,0.80822515
81,0.8295646
82,0.83676124
83,0.84742796
84,0.84742796
85,0.84742796
86,0.8154125
87,0.86750054
88,0.8093346
89,0.85881686
90,0.8044423
91,0.78963053
92,0.69799495
93,0.8628503
94,0.8687716
95,0.8351712
96,0.7868837
97,0.8349068
98,0.76430136
99,0.76430136
100,0.7695599
101,0.78735673
102,0.8423073
103,0.91724813
104,0.91724813
105,0.9126587
106,0.9126587
107,0.8956027
108,0.8196389
109,0.8956027
110,0.8337003
111,0.85429883
112,0.75588083
113,0.69198096
114,0.9149164
115,0.6803498
116,0.67249906
117,0.8737761
118,0.8930627
119,0.8118235
120,0.87376785
121,0.9211908
122,0.88419867
123,0.8725393
124,0.7954236
125,0.8725393
126,0.8371005
127,0.8849827
128,0.8849827
129,0.7410995
130,0.5081262
131,0.8063235
132,0.94461477
133,0.72801423
134,0.6955554
135,0.8004817
136,0.8320583
137,0.8320583
138,0.8320583
139,0.8320583
140,0.80035365
141,0.8528178
142,0.74206775
143,0.8528178
144,0.71950597
145,0.75174046
146,0.855972
147,0.8670755
148,0.6933195
149,0.8046509
150,0.88482445
151,0.7647319
152,0.899336
153,0.96998835
154,0.75014997
155,0.9046721
156,0.90796816
157,0.7235401
158,0.76791084
159,0.8863566
160,0.8240468
161,0.83762693
162,0.66934276
163,0.6497252
164,0.75807434
165,0.66152465
166,0.79305565
167,0.8680177
168,0.8680177
169,0.7918825
170,0.68398094
171,0.7142837
172,0.7372324
173,0.73708427
174,0.6838116
175,0.7974814
176,0.80885214
177,0.7690701
178,0.80885214
179,0.80885214
180,0.7064511
181,0.77498776
182,0.7936763
183,0.70954525
184,0.8596463
185,0.79998326
186,0.7584468
187,0.7574183
188,0.9137702
189,0.9137702
190,0.8908367
191,0.9137702
192,0.8110943
193,0.9100286
194,0.8454313
195,0.870198
196,0.80869234
197,0.84348345
198,0.8494272
199,0.75359356
200,0.8377225
201,0.8377225
202,0.80932146
203,0.8618049
204,0.8375742
205,0.88863784
206,0.80869234
207,0.7402549
208,0.7381593
209,0.8377225
210,0.80869234
211,0.8377225
212,0.67069954
213,0.86347413
214,0.84519494
215,0.8705197
216,0.89625573
217,0.8817868
218,0.8716142
219,0.7962097
220,0.78683573
221,0.78683573
222,0.8831721
223,0.83352673
224,0.77513087
225,0.8195138
226,0.77513087
227,0.79710436
228,0.8268858
229,0.7963644
230,0.84364736
231,0.8807759
232,0.8558639
233,0.87747073
234,0.89539146
235,0.7872535
236,0.8728782
237,0.89235866
238,0.89235866
239,0.89235866
240,0.89235866
241,0.8553593
242,0.8319529
243,0.89235866
244,0.8461083
245,0.82919157
246,0.8419286
247,0.7582443
248,0.7582443
249,0.8143656
250,0.8332547
251,0.8366091
252,0.902881
253,0.902881
254,0.90864265
255,0.90864265
256,0.90864265
257,0.90864265
258,0.91033506
259,0.842494
260,0.88499165
261,0.9348112
262,0.9195266
263,0.725827
264,0.90989393
265,0.87130094
266,0.719151
267,0.78658223
268,0.6837101
269,0.72533154
270,0.7109699
271,0.66062033
272,0.83542264
273,0.8282459
274,0.74729276
275,0.7239318
276,0.78775245
277,0.78775245
278,0.88958275
279,0.86490524
280,0.77117443
281,0.7412504
282,0.82151073
283,0.74984634
284,0.7514672
285,0.79862845
286,0.71266377
287,0.7779542
288,0.83714914
289,0.823598
290,0.83155334
291,0.7837742
292,0.7881483
293,0.781541
294,0.7738317
295,0.8796059
296,0.85855335
297,0.77698314
298,0.8352455
299,0.8352455
300,0.9138813
